ARG	ID	RESULTNAME	KOMMENTAR	LABEL	DATENTYP	NAME	EINHEIT	
IKRAN	0x58AF	STAT_KRAFTSTOFF_ANFORDERUNG_AN_PUMPE_WERT	Kraftstoff Anforderung an Pumpe	VFF_EFP	unsigned char	-	l/h	
IDKAD	0x58B0	STAT_DK_ADAPTIONSSCHRITT_WERT	DK-Adaptionsschritt	TPS_AD_STEP_KWP	unsigned char	-	-	
IZFZ1	0x58B1	STAT_FUNKENBRENNDAUER_ZYL1_WERT	Funkenbrenndauer Zylinder 1	V_DUR_IGC_0	unsigned char	-	ms	
IZFZ5	0x58B2	STAT_FUNKENBRENNDAUER_ZYL5_WERT	Funkenbrenndauer Zylinder 5	V_DUR_IGC_1	unsigned char	-	ms	
IZFZ3	0x58B3	STAT_FUNKENBRENNDAUER_ZYL3_WERT	Funkenbrenndauer Zylinder 3	V_DUR_IGC_2	unsigned char	-	ms	
IZFZ6	0x58B4	STAT_FUNKENBRENNDAUER_ZYL6_WERT	Funkenbrenndauer Zylinder 6	V_DUR_IGC_3	unsigned char	-	ms	
IZFZ2	0x58B5	STAT_FUNKENBRENNDAUER_ZYL2_WERT	Funkenbrenndauer Zylinder 2	V_DUR_IGC_4	unsigned char	-	ms	
IZFZ4	0x58B6	STAT_FUNKENBRENNDAUER_ZYL4_WERT	Funkenbrenndauer Zylinder 4	V_DUR_IGC_5	unsigned char	-	ms	
IPBRE	0x58B7	STAT_BREMSDRUCK_WERT	Bremsdruck	BRAKE_PRS	unsigned char	-	bar	
-	0x58B8	STAT_0x58B8_WERT	Drehzahl Überwachung	N_32_MON	unsigned char	-	rpm	
-	0x58B9	STAT_0x58B9_WERT	Pedalwert Überwachung	PV_AV_MON	unsigned char	-	%	
-	0x58BC	STAT_0x58BC_WERT	Luftmasse Überwachung	MAF_MON	unsigned char	-	mg/stk	
